id,Collection Name,Files,File sources,Tags,Dublin Core : Title,Dublin Core : Description,Dublin Core : Creator,Dublin Core : Source,Dublin Core : Publisher,Dublin Core : Date,timestamp,Dublin Core : Contributor,Dublin Core : Rights,Dublin Core : Format,Dublin Core : Type,Dublin Core : Is Part Of,Dublin Core : Is Referenced By,Dublin Core : References,Dublin Core : Medium,Dublin Core : Rights Holder
1,1960-1969,https://bga.uniandes.edu.co/catalogo/files/original/c3084b6e5b9eb942cf313713196bc20a.JPG,BG_NINA_MALLARINO.JPG,,Retrato de la niña Mallarino Dávila.,Copia de una ilustración publicada en la revista VIDA dirigida por Santiago Martinez Delgado,Beatriz González,,,1948,1948-01-01T00:00:00Z,Juan Rodríguez Varón,,28.6x24.5 cm,obra,"2011 Beatriz González La Comedia y la Tragedia MAMM, Medellín","2011 Catálogo Beatriz González La Comedia y la Tragedia MAMM, Medellín",,Pastel sobre papel,Beatriz González
2,1960-1969,https://bga.uniandes.edu.co/catalogo/files/original/a5d94a5d2322223f8b0fe8d2e80a0f4c.JPG,BG_DAPRES_DEGAS.JPG,,D'Après Degas,Dibujo a partir de una pintura de Edgar Degas,Beatriz González,,,1955,1955-01-01T00:00:00Z,Juan Rodríguez Varón,,31x21.5 cm,obra,,,,Carboncillo sobre papel,Beatriz González
3,1960-1969,https://bga.uniandes.edu.co/catalogo/files/original/7e699bd20e27a29a15db325275b20c2b.JPG,BG_ESTUDIO_UNIVERSIDAD.JPG,,Estudio,Estudio de clase con Armando Villegas,Beatriz González,,,1959,1959-01-01T00:00:00Z,Juan Rodríguez Varón,,63x48 cm,obra,,,,Carboncillo sobre papel,Beatriz González
4,1960-1969,https://bga.uniandes.edu.co/catalogo/files/original/07150fedb3ca724f435b4f982189dd39.JPG,BG_ESTUDIO_CLASE_ARMANDO-VILLEGAS.JPG,,Estudio de clase con Armando Villegas,,Beatriz González,,,1959,1959-01-01T00:00:00Z,Juan Rodríguez Varón,,82x44.5 cm,obra,,,,Óleo sobre tela,Beatriz González
5,1960-1969,https://bga.uniandes.edu.co/catalogo/files/original/e962ef67d3a923299e99c680c27c1156.JPG,BG_ESTUDIO_CLASE_MANZUR.JPG,,Estudio de clase con David Manzur,,Beatriz González,,,1959,1959-01-01T00:00:00Z,Juan Rodríguez Varón,,22x36.5 cm,obra,,,,Monotipo,Beatriz González
6,1960-1969,https://bga.uniandes.edu.co/catalogo/files/original/5c3682512b500fca51051ddbe1b49ecf.JPG,BG_GALLO.JPG,,Gallo,,Beatriz González,,,1959,1959-01-01T00:00:00Z,Juan Rodríguez Varón,,63x28 cm,obra,,,,Carboncillo sobre papel,Beatriz González
7,1960-1969,https://bga.uniandes.edu.co/catalogo/files/original/cb2f9670c5235182f90ad545b9243365.JPG,BG_BODEGON1.JPG,,Bodegón (I),,Beatriz González,,,1960,1960-01-01T00:00:00Z,Juan Rodríguez Varón,,48.5 x 63.5 cm,obra,,,,Carboncillo sobre papel,Beatriz González
8,1960-1969,https://bga.uniandes.edu.co/catalogo/files/original/4a88ff0edc0f088ca8eda32823ee84d3.JPG,BG_BODEGON2.JPG,,Bodegón (II),,Beatriz González,,,1960,1960-01-01T00:00:00Z,Juan Rodríguez Varón,,48 x 63 cm,obra,,,,Carboncillo sobre papel,Beatriz González
9,1960-1969,https://bga.uniandes.edu.co/catalogo/files/original/10f0783103ea64bdcd24c5332d132b3f.JPG,BG_BODEGON3JPG.JPG,,Bodegón (III),,Beatriz González,,,1960,1960-01-01T00:00:00Z,Juan Rodríguez Varón,,48 x 63 cm,obra,,,,Carboncillo sobre papel,Beatriz González
10,1960-1969,https://bga.uniandes.edu.co/catalogo/files/original/2088bca79d6a6973fbd954cddcee1b22.JPG,BG_BODEGON4.JPG,,Bodegón (IV),Serie de bodegones en clase con Hena Rodríguez,Beatriz González,,,1960,1960-01-01T00:00:00Z,Juan Rodríguez Varón,,63 x 48 cm,obra,,,,Carboncillo sobre papel,Beatriz González
11,1960-1969,https://bga.uniandes.edu.co/catalogo/files/original/7aaa63f2ac70677e789d19694df34fa2.JPG,BG_BODEGON5.JPG,,Bodegón (V),,Beatriz González,,,1960,1960-01-01T00:00:00Z,Juan Rodríguez Varón,,48.5 x 63.5 cm,obra,,,,Carboncillo sobre papel,Beatriz González
12,1960-1969,https://bga.uniandes.edu.co/catalogo/files/original/800b61f91bddfd80f82ae42c6249a8de.JPG,BG_BODEGON6.JPG,,Bodegón (VI),,Beatriz González,,,1960,1960-01-01T00:00:00Z,Juan Rodríguez Varón,,48 x 63 cm,obra,,,,Pastel sobre papel,Beatriz González
13,1960-1969,https://bga.uniandes.edu.co/catalogo/files/original/54e53697c0aa35cd922035c8f009530f.JPG,BG_BODEGON7.JPG,,Bodegón (VII),,Beatriz González,,,1960,1960-01-01T00:00:00Z,Juan Rodríguez Varón,,48 x 63 cm,obra,,,,Carboncillo sobre papel,Beatriz González
14,1960-1969,https://bga.uniandes.edu.co/catalogo/files/original/1fed5c2900f96be95bcc38b08ee5d29f.JPG,BG_BODEGON8.JPG,,Bodegón (VIII),,Beatriz González,,,1960,1960-01-01T00:00:00Z,Juan Rodríguez Varón,,65 x 50 cm,obra,,,,Carboncillo sobre papel,Beatriz González
