obra_id|obra_url|obra_title|obra_date|obra_medium|obra_format|referente_id|referente_url|referente_title|referente_date|referente_publisher
33|https://bga.uniandes.edu.co/catalogo/api/items/33|Versión de la Rendición de Breda (I)|1962|100 x 70 cm|Óleo sobre lienzo|1868|https://bga.uniandes.edu.co/catalogo/api/items/1868|"Recorte de revista con imagen de ""La rendición de Breda"" de Diego Velázquez "||
36|https://bga.uniandes.edu.co/catalogo/api/items/36|Versión de la Rendición de Breda (II)|1962|80 x 110 cm|Óleo sobre lienzo|1868|https://bga.uniandes.edu.co/catalogo/api/items/1868|"Recorte de revista con imagen de ""La rendición de Breda"" de Diego Velázquez "||
34|https://bga.uniandes.edu.co/catalogo/api/items/34|Versión de la Rendición de Breda (III)|1962|50 x 100 cm|Óleo sobre lienzo|1868|https://bga.uniandes.edu.co/catalogo/api/items/1868|"Recorte de revista con imagen de ""La rendición de Breda"" de Diego Velázquez "||
35|https://bga.uniandes.edu.co/catalogo/api/items/35|Versión de la Rendición de Breda (IV)|1962|100 x 70 cm|Óleo sobre lienzo|1868|https://bga.uniandes.edu.co/catalogo/api/items/1868|"Recorte de revista con imagen de ""La rendición de Breda"" de Diego Velázquez "||
47|https://bga.uniandes.edu.co/catalogo/api/items/47|El sombrero de la Rendición de Breda|1963|40 x 70 cm|Óleo sobre cartón|1868|https://bga.uniandes.edu.co/catalogo/api/items/1868|"Recorte de revista con imagen de ""La rendición de Breda"" de Diego Velázquez "||
48|https://bga.uniandes.edu.co/catalogo/api/items/48|Encajera|1963|100 x 70 cm|Óleo sobre lienzo|1871|https://bga.uniandes.edu.co/catalogo/api/items/1871|"Recorte de revista con la imagen ""La encajera"" de Johannes Vermeer"||
49|https://bga.uniandes.edu.co/catalogo/api/items/49|Encajera dinámica|1963|120 x 100 cm|Óleo sobre lienzo|1871|https://bga.uniandes.edu.co/catalogo/api/items/1871|"Recorte de revista con la imagen ""La encajera"" de Johannes Vermeer"||
50|https://bga.uniandes.edu.co/catalogo/api/items/50|Encajera Monte Onda |1963|70 x 100 cm|Óleo sobre lienzo|1871|https://bga.uniandes.edu.co/catalogo/api/items/1871|"Recorte de revista con la imagen ""La encajera"" de Johannes Vermeer"||
51|https://bga.uniandes.edu.co/catalogo/api/items/51|Encajera negativa|1963|80 x 70 cm|Óleo sobre lienzo|1871|https://bga.uniandes.edu.co/catalogo/api/items/1871|"Recorte de revista con la imagen ""La encajera"" de Johannes Vermeer"||
52|https://bga.uniandes.edu.co/catalogo/api/items/52|Encajera roja detalle|1963|70 x 100 cm|Óleo sobre lienzo|1871|https://bga.uniandes.edu.co/catalogo/api/items/1871|"Recorte de revista con la imagen ""La encajera"" de Johannes Vermeer"||
53|https://bga.uniandes.edu.co/catalogo/api/items/53|Fragmento de la Rendición de Breda|1963|70 x 110 cm|Óleo sobre lienzo|1868|https://bga.uniandes.edu.co/catalogo/api/items/1868|"Recorte de revista con imagen de ""La rendición de Breda"" de Diego Velázquez "||
58|https://bga.uniandes.edu.co/catalogo/api/items/58|Encajera Almanaque Pielroja|1964|100 x 85 cm|Óleo sobre lienzo|1871|https://bga.uniandes.edu.co/catalogo/api/items/1871|"Recorte de revista con la imagen ""La encajera"" de Johannes Vermeer"||
60|https://bga.uniandes.edu.co/catalogo/api/items/60|Encajera ave |1964|100 x 85 cm|Óleo sobre lienzo|1871|https://bga.uniandes.edu.co/catalogo/api/items/1871|"Recorte de revista con la imagen ""La encajera"" de Johannes Vermeer"||
62|https://bga.uniandes.edu.co/catalogo/api/items/62|Encajera en la noche de la Rendición de Breda|1964|100 x 85 cm|Óleo sobre lienzo|1871|https://bga.uniandes.edu.co/catalogo/api/items/1871|"Recorte de revista con la imagen ""La encajera"" de Johannes Vermeer"||
63|https://bga.uniandes.edu.co/catalogo/api/items/63|Encajera en la playa n. 1|1964|100 x 85 cm|Óleo sobre lienzo|1871|https://bga.uniandes.edu.co/catalogo/api/items/1871|"Recorte de revista con la imagen ""La encajera"" de Johannes Vermeer"||
64|https://bga.uniandes.edu.co/catalogo/api/items/64|Encajera en la playa n. 2|1964|100 x 85 cm|Óleo sobre lienzo|1871|https://bga.uniandes.edu.co/catalogo/api/items/1871|"Recorte de revista con la imagen ""La encajera"" de Johannes Vermeer"||
